ts,Ether_dst,Ether_src,IP_src,IP_dst,pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,WS_src,WS_dst,Protocol,dst_IP_diversity,dst_port_diversity,src_IP_diversity,IP_add_count,Label
1559705626.312683,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,163.152.1.1,70,2048,0,0,0,0,0,0,4,5,0,70,3,0,0,64367,55774,1,0,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,15587,0,0,0,0,0,0,0,1,0,0,0,0,54965,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,2,3,53,55530,53,0,0,55530,53,42,3.765688605838269,192.168.0.23,163.152.1.1,3.0,1,1,1,1,Benign
1559705626.314352,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,163.152.1.1,192.168.0.23,378,2048,0,0,0,0,0,0,4,5,0,378,2,0,0,7708,63998,0,0,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,358,7753,0,0,0,0,0,0,0,1,0,0,0,0,54965,1,0,0,0,1,1,0,0,0,0,1,2,4,8,2,13,53,3,53,55530,0,0,53,55530,350,4.682990539252159,163.152.1.1,192.168.0.23,3.0,1,1,1,1,Benign
1559705626.327054,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,172.217.31.168,60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,27112,17299,1,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445467255,0,10,0,2,0,1,0,0,0,0,0,0,65535,64935,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36174,443,36174,443,0,0,0,0.0,192.168.0.23,172.217.31.168,4.0,2,2,1,2,Benign
1559705626.362882,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,172.217.31.168,192.168.0.23,60,2048,0,0,0,0,0,0,4,5,0,60,2,0,0,48662,64356,0,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539599538,2445467256,10,0,3,0,1,0,0,1,0,0,0,60192,56643,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,443,2,443,36174,443,36174,0,0,0,0.0,172.217.31.168,192.168.0.23,4.0,1,1,2,1,Benign
1559705626.365292,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,172.217.31.168,52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,27113,17306,1,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445467256,2539599539,8,0,4,0,0,0,0,1,0,0,0,685,62475,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36174,443,36174,443,0,0,0,0.0,192.168.0.23,172.217.31.168,4.0,2,2,1,2,Benign
1559705626.367354,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,172.217.31.168,569,2048,0,0,0,0,0,0,4,5,0,569,3,0,0,27114,16788,1,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445467256,2539599539,8,0,5,0,0,0,1,1,0,0,0,685,40009,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36174,443,36174,443,0,0,517,6.369687187831435,192.168.0.23,172.217.31.168,14.0,2,2,1,2,Benign
1559705626.403309,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,172.217.31.168,192.168.0.23,52,2048,0,0,0,0,0,0,4,5,0,52,2,0,0,48689,64337,0,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539599539,2445467773,8,0,4,0,0,0,0,1,0,0,0,240,62360,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,443,2,443,36174,443,36174,0,0,0,0.0,172.217.31.168,192.168.0.23,4.0,1,1,2,1,Benign
1559705626.4045,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,172.217.31.168,192.168.0.23,214,2048,0,0,0,0,0,0,4,5,0,214,2,0,0,48691,64173,0,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539599539,2445467773,8,0,5,0,0,0,1,1,0,0,0,240,5925,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,443,2,443,36174,443,36174,0,0,162,5.944875495585318,172.217.31.168,192.168.0.23,16.0,1,1,2,1,Benign
1559705626.406033,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,172.217.31.168,52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,27115,17304,1,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445467773,2539599701,8,0,4,0,0,0,0,1,0,0,0,693,61705,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36174,443,36174,443,0,0,0,0.0,192.168.0.23,172.217.31.168,4.0,2,2,1,2,Benign
1559705626.410263,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,172.217.31.168,103,2048,0,0,0,0,0,0,4,5,0,103,3,0,0,27116,17252,1,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445467773,2539599701,8,0,5,0,0,0,1,1,0,0,0,693,4354,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36174,443,36174,443,0,0,51,4.785772774346526,192.168.0.23,172.217.31.168,16.0,2,2,1,2,Benign
1559705626.486144,a8:2b:b9:d6:5d:9c,88:36:6c:d7:1c:56,172.217.31.168,192.168.0.23,52,2048,0,0,0,0,0,0,4,5,0,52,2,0,0,48749,64277,0,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539599701,2445467824,8,0,4,0,0,0,0,1,0,0,0,240,62025,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,443,2,443,36174,443,36174,0,0,0,0.0,172.217.31.168,192.168.0.23,4.0,1,1,2,1,Benign
1559705626.488374,88:36:6c:d7:1c:56,a8:2b:b9:d6:5d:9c,192.168.0.23,172.217.31.168,1238,2048,0,0,0,0,0,0,4,5,0,1238,3,0,0,27117,16116,1,0,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445467824,2539599701,8,0,5,0,0,0,1,1,0,0,0,693,46293,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,2,443,36174,443,36174,443,0,0,1186,7.832711453430795,192.168.0.23,172.217.31.168,16.0,2,2,1,2,Benign
