ts,IP_flags,IP_DF,TCP_dataofs,TCP_SYN,TCP_ACK,sport_class,dst_IP_diversity,dst_port_diversity,pck_size_sum_of_EW,ts_diff,ts_std_WE,ts_sum_of_EW,TCP_window_std_WE,ts_mean_6,ts_std_6,TCP_SYN_sum,TCP_ACK_sum,TCP_SYN_ratio,TCP_ACK_SR,TCP_ACK_R,pck_size_mean_9,ts_mean_9,ts_std_9,TCP_window_mean_9,pck_size_mean_2,ts_mean_2,ts_std_2,TCP_window_mean_2,Label
0.0,1,0,0,0,0,9,1,1,459.0,0.0,0.0,0.0,0.0,0.0778373479843139,0.041296282276242,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.0308510065078735,0.0436299118162953,0.0,0
0.0,2,0,0,0,0,9,1,1,479.0,0.0,0.0,0.0,0.0,0.0778462489446004,0.0412951765355687,0,0,0.0,0.0,0.0,479.0,3.053064240349664,4.462951750961976,0.0,479.0,0.0308694839477539,0.0436560428623721,0.0,0
0.061702013015747,1,0,0,0,0,9,1,1,918.0,0.061702013015747,0.0436299118162953,0.061702013015747,0.0,0.0778373479843139,0.041296282276242,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.0308510065078735,0.0436299118162953,0.0,0
0.0617389678955078,2,0,0,0,0,9,1,1,958.0,0.0617389678955078,0.0436560428623721,0.0617389678955078,0.0,0.0778462489446004,0.0412951765355687,0,0,0.0,0.0,0.0,479.0,3.053064240349664,4.462951750961976,0.0,479.0,0.0308694839477539,0.0436560428623721,0.0,0
0.1010270118713378,1,0,0,0,0,9,1,1,1377.0,0.0393249988555908,0.0509248647074607,0.1627290248870849,0.0,0.0778373479843139,0.041296282276242,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.0813645124435424,0.0278069733609414,0.0,0
0.1010818481445312,2,0,0,0,0,9,1,1,1437.0,0.0393428802490234,0.0509527598326881,0.162820816040039,0.0,0.0778462489446004,0.0412951765355687,0,0,0.0,0.0,0.0,479.0,3.053064240349664,4.462951750961976,0.0,479.0,0.0814104080200195,0.0278196174154947,0.0,0
0.1012389659881591,1,0,0,0,0,9,1,1,1836.0,0.0002119541168212,0.0477603347298441,0.2639679908752441,0.0,0.0778373479843139,0.041296282276242,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.1011329889297485,0.0001498741933047,0.0,0
0.101226806640625,2,0,0,0,0,9,1,1,1916.0,0.0001449584960937,0.0477696549528656,0.264047622680664,0.0,0.0778462489446004,0.0412951765355687,0,0,0.0,0.0,0.0,479.0,3.053064240349664,4.462951750961976,0.0,479.0,0.1011543273925781,0.0001025011355784,0.0,0
0.1014330387115478,1,0,0,0,0,9,1,1,2295.0,0.0001940727233886,0.044294476602166,0.365401029586792,0.0,0.0778373479843139,0.041296282276242,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.1013360023498535,0.0001372301387514,0.0,0
0.1014199256896972,2,0,0,0,0,9,1,1,2395.0,0.0001931190490722,0.0442967326907706,0.3654675483703613,0.0,0.0778462489446004,0.0412951765355687,0,0,0.0,0.0,0.0,479.0,3.053064240349664,4.462951750961976,0.0,479.0,0.1013233661651611,0.0001365557891752,0.0,0
0.1016230583190918,1,0,0,0,0,9,1,1,2754.0,0.0001900196075439,0.041296282276242,0.4670240879058838,0.0,0.0778373479843139,0.041296282276242,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.1015280485153198,0.0001343641530527,0.0,0
0.1016099452972412,2,0,0,0,0,9,1,1,2874.0,0.0001900196075439,0.0412951765355687,0.4670774936676025,0.0,0.0778462489446004,0.0412951765355687,0,0,0.0,0.0,0.0,479.0,3.053064240349664,4.462951750961976,0.0,479.0,0.1015149354934692,0.0001343641530527,0.0,0
0.1018869876861572,1,0,0,0,0,9,1,1,3213.0,0.0002639293670654,0.0387785880913614,0.568911075592041,0.0,0.0948185125986735,0.0162264436509836,0,0,0.0,0.0,0.0,459.0,2.0630794366200766,3.932673078519721,0.0,459.0,0.1017550230026245,0.0001866262452062,0.0,0
0.0,1,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053945422172546,7.1473581595298326,0.0,0
0.0,1,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052248477935791,7.144958317975623,0.0,0
